"Supplied recipient email is invalid.","Supplied recipient email is invalid."
"Supplied sender email is invalid.","Supplied sender email is invalid."
"Template ID","Template ID"
"Template Title","Template Title"
"Template","Template"
"Text Settings","Text Settings"
"The card number entered is invalid. Please retry","The card number entered is invalid. Please retry"
"The card number or PIN entered are invalid. Please retry","The card number or PIN entered are invalid. Please retry"
"The card number or PIN entered is invalid. Please retry","The card number or PIN entered is invalid. Please retry"
"The configuration has been saved.","The configuration has been saved."
"There was an error while updating certificate(s) status","There was an error while updating certificate(s) status"
"This order will be fully paidreci by the gift certificate(s)","הזמנה זו משולמת באופן מלא באמצעות שובר מתנה"
"Times New Roman","Times New Roman"
"Timestamp","Timestamp"
"Title","Title"
"To check the balance of a Gift Card, enter the card number and PIN below.","To check the balance of a Gift Card, enter the card number and PIN below."
"To check the balance of a Gift Card, enter the card number below.","To check the balance of a Gift Card, enter the card number below."
"To myself","To myself"
"To:","To:"
"Total of %d Gift Certificates(s) and %d emails were successfully sent","Total of %d Gift Certificates(s) and %d emails were successfully sent"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Total","Total"
"Transaction History","Transaction History"
"Unable to proceed, please return to shopping cart to see the changes.","Unable to proceed, please return to shopping cart to see the changes."
"Unknown delivery type.","Unknown delivery type."
"Update Comments","Update Comments"
"Update gift certificate data","Update gift certificate data"
"Update Gift Certificates","Update Gift Certificates"
"Update","Update"
"Updates and New certificates","Updates and New certificates"
"Updates","Updates"
"Uploaded files","Uploaded files"
"Use <b>strftime()</b> format","Use <b>strftime()</b> format"
"Use PIN","Use PIN"
"Use Website","Use Website"
"Use certificate conditions","Use certificate conditions"
"Use default settings","Use default settings"
"Used Certificate Amount","Used Certificate Amount"
"Username","Username"
"Using standard fonts will yield much smaller file size<br><strong>Attention:</strong> In Magento 1.7 there is a bug with Zend PDF when using bundled fonts.","Using standard fonts will yield much smaller file size<br><strong>Attention:</strong> In Magento 1.7 there is a bug with Zend PDF when using bundled fonts."
"When importing allow only:","When importing allow only:"
"Width","Width"
"X position","X position"
"XML","XML"
"Y position","Y position"
"Yes","Yes"
"You can use custom templates for all fields. Free text fields will be rendered literally.<br/>For certificate properties fields, you can use <a href='http://php.net/sprintf'>sprintf()</a> formatted template, field value will be the only passed argument.","You can use custom templates for all fields. Free text fields will be rendered literally.<br/>For certificate properties fields, you can use <a href='http://php.net/sprintf'>sprintf()</a> formatted template, field value will be the only passed argument."
"You will be redirected to PayPal in a few seconds.","You will be redirected to PayPal in a few seconds."
"Your Gift Card Balance","Your Gift Card Balance"

